INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001010001','2001010001',TO_DATE('2020-01-02', 'YYYY-MM-DD'),TO_DATE('2020-01-09', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001010002','2001070002',TO_DATE('2020-01-04', 'YYYY-MM-DD'),TO_DATE('2020-01-11', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001010003','2001100005',TO_DATE('2020-01-04', 'YYYY-MM-DD'),TO_DATE('2020-01-07', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001010004','2002040003',TO_DATE('2020-01-01', 'YYYY-MM-DD'),TO_DATE('2020-01-05', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001010005','2001070008',TO_DATE('2020-01-05', 'YYYY-MM-DD'),TO_DATE('2020-01-10', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001010006','2002010008',TO_DATE('2020-01-04', 'YYYY-MM-DD'),TO_DATE('2020-01-09', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001010007','2002010003',TO_DATE('2020-01-04', 'YYYY-MM-DD'),TO_DATE('2020-01-07', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001010008','2001120001',TO_DATE('2020-01-02', 'YYYY-MM-DD'),TO_DATE('2020-01-04', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001010009','2001020003',TO_DATE('2020-01-04', 'YYYY-MM-DD'),TO_DATE('2020-01-11', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001010010','2002010017',TO_DATE('2020-01-03', 'YYYY-MM-DD'),TO_DATE('2020-01-07', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001010011','2001140004',TO_DATE('2020-01-05', 'YYYY-MM-DD'),TO_DATE('2020-01-10', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001020001','2001160003',TO_DATE('2020-01-03', 'YYYY-MM-DD'),TO_DATE('2020-01-10', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001020002','2001070013',TO_DATE('2020-01-02', 'YYYY-MM-DD'),TO_DATE('2020-01-05', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001020003','2001020005',TO_DATE('2020-01-02', 'YYYY-MM-DD'),TO_DATE('2020-01-04', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001020004','2001220005',TO_DATE('2020-01-03', 'YYYY-MM-DD'),TO_DATE('2020-01-10', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001020005','2001100006',TO_DATE('2020-01-03', 'YYYY-MM-DD'),TO_DATE('2020-01-08', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001020006','2001200004',TO_DATE('2020-01-06', 'YYYY-MM-DD'),TO_DATE('2020-01-13', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001020007','2001020001',TO_DATE('2020-01-05', 'YYYY-MM-DD'),TO_DATE('2020-01-11', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001020008','2002010017',TO_DATE('2020-01-05', 'YYYY-MM-DD'),TO_DATE('2020-01-11', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001020009','2002010016',TO_DATE('2020-01-05', 'YYYY-MM-DD'),TO_DATE('2020-01-10', 'YYYY-MM-DD'));
INSERT INTO FacilityReserved(FacilityReservedID,CustID,ReservedStartDate,ReservedEndDate) VALUES ('2001040001','2002010001',TO_DATE('2020-01-08', 'YYYY-MM-DD'),TO_DATE('2020-01-11', 'YYYY-MM-DD'));
